env,config,seed,episode,steps_in_episode,reward_env,success
Foundational,Shaped DQN,27,121,7,19.3,True
Foundational,Shaped DQN,27,122,7,19.3,True
Foundational,Shaped DQN,27,123,6,19.4,True
Foundational,Shaped DQN,27,124,7,19.3,True
Foundational,Shaped DQN,27,125,6,19.4,True
Foundational,Shaped DQN,27,126,7,19.3,True
Foundational,Shaped DQN,27,127,7,19.3,True
Foundational,Shaped DQN,27,128,7,19.3,True
Foundational,Shaped DQN,27,129,6,19.4,True
Foundational,Shaped DQN,27,130,7,19.3,True
Foundational,Shaped DQN,27,131,6,19.4,True
Foundational,Shaped DQN,27,132,6,19.4,True
Foundational,Shaped DQN,27,133,6,19.4,True
Foundational,Shaped DQN,27,134,6,19.4,True
Foundational,Shaped DQN,27,135,6,19.4,True
Foundational,Shaped DQN,27,136,6,19.4,True
Foundational,Shaped DQN,27,137,6,19.4,True
Foundational,Shaped DQN,27,138,6,19.4,True
Foundational,Shaped DQN,27,139,6,19.4,True
Foundational,Shaped DQN,27,140,8,19.200000000000003,True
Foundational,Shaped DQN,27,141,6,19.4,True
Foundational,Shaped DQN,27,142,7,19.3,True
Foundational,Shaped DQN,27,143,6,19.4,True
Foundational,Shaped DQN,27,144,7,19.3,True
Foundational,Shaped DQN,27,145,6,19.4,True
Foundational,Shaped DQN,27,146,7,19.3,True
Foundational,Shaped DQN,27,147,7,19.3,True
Foundational,Shaped DQN,27,148,6,19.4,True
Foundational,Shaped DQN,27,149,9,19.1,True
Foundational,Shaped DQN,27,150,6,19.4,True
Foundational,Shaped DQN,27,151,6,19.4,True
Foundational,Shaped DQN,27,152,6,19.4,True
Foundational,Shaped DQN,27,153,6,19.4,True
Foundational,Shaped DQN,27,154,6,19.4,True
Foundational,Shaped DQN,27,155,6,19.4,True
Foundational,Shaped DQN,27,156,6,19.4,True
Foundational,Shaped DQN,27,157,7,19.3,True
Foundational,Shaped DQN,27,158,15,8.500000000000004,False
Foundational,Shaped DQN,27,159,6,19.4,True
Foundational,Shaped DQN,27,160,7,19.3,True
Foundational,Shaped DQN,27,161,7,19.3,True
Foundational,Shaped DQN,27,162,6,19.4,True
Foundational,Shaped DQN,27,163,8,19.200000000000003,True
Foundational,Shaped DQN,27,164,7,19.3,True
Foundational,Shaped DQN,27,165,8,19.200000000000003,True
Foundational,Shaped DQN,27,166,7,19.3,True
Foundational,Shaped DQN,27,167,6,19.4,True
Foundational,Shaped DQN,27,168,6,19.4,True
Foundational,Shaped DQN,27,169,6,19.4,True
Foundational,Shaped DQN,27,170,11,18.900000000000002,True
Foundational,Shaped DQN,27,171,6,19.4,True
Foundational,Shaped DQN,27,172,8,19.200000000000003,True
Foundational,Shaped DQN,27,173,6,19.4,True
Foundational,Shaped DQN,27,174,6,19.4,True
Foundational,Shaped DQN,27,175,7,19.3,True
Foundational,Shaped DQN,27,176,6,19.4,True
Foundational,Shaped DQN,27,177,7,19.3,True
Foundational,Shaped DQN,27,178,7,19.3,True
Foundational,Shaped DQN,27,179,6,19.4,True
Foundational,Shaped DQN,27,180,6,19.4,True
Foundational,Shaped DQN,27,181,7,19.3,True
Foundational,Shaped DQN,27,182,6,19.4,True
Foundational,Shaped DQN,27,183,6,19.4,True
Foundational,Shaped DQN,27,184,7,19.3,True
Foundational,Shaped DQN,27,185,6,19.4,True
Foundational,Shaped DQN,27,186,6,19.4,True
Foundational,Shaped DQN,27,187,7,19.3,True
Foundational,Shaped DQN,27,188,6,19.4,True
Foundational,Shaped DQN,27,189,6,19.4,True
Foundational,Shaped DQN,27,190,6,19.4,True
Foundational,Shaped DQN,27,191,7,19.3,True
Foundational,Shaped DQN,27,192,6,19.4,True
